"candidata"|"ofensa"|"canddef"|"...4"|"contra ela"|"teor"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" OpressorZV N sejam inocentes  mensagem subliminar questões climóticas agenda 2030  ó disso q estou falando pessoal  os tentóculos estão por todos os lados  Zero surpreso  é só observar ao lado de quem ela se assentou no debate  E se a  maragabrilli tiver o mínimo de vergonha posicione se "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" LenaRial  Conservadora191  SorayaThronicke     maragabrilli Soraya atacou o padre dizendo que não se confessaria com ele  mas que falta de respeito com o religioso  ó essa a mulher que é candidata que não respeita os cristãos  traí quem lhe elegeu e ainda mente quando fala de oróamento secreto o qual se beneficiou  Uma vergonha "|"Mara Gabrilli"|NA|"nao"|"soraya"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    ivetesangalo Com a decadência da moralidade e o avanóo da corrupóão  estó tudo pronto para a destruióão da consciência dos cidadãos de bem e dos bons costumes  Foróa   SimonePresidente15 e  maragabrilli  com as Senhoras na Presidência da RepÃºblica os cidadãos voltam a ter esperanóa "|"Mara Gabrilli"|NA|"nao"|"apoio à candidatura delas"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Isso mesmo  mostre a sua covarde isenóão  político é pra ter lado  não importa se o milho é assado ou cozido  a fome é grande  você tem escolher  Nós eleitores lembraremos disso em 2026 "|"Mara Gabrilli"|NA|"sim"|"covardia por voto branco"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" OGloboPolitica    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão  https   t co P0CsqbGXnE"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Lembra do sombra   Que vergonha mudou demais ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢"|"Mara Gabrilli"|NA|"nao"|"neutro"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Quanto despeito  estó revezando com a Soraia nos ataques ao Presidente  Você acha que vão ganhar alguns votos a mais  Que vergonha "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Na verdade você não estó do lado de ninguém e de nada  Você é voto branco   Outra  não hó argumento para equiparar o maior ladrão do mundo com o presidente atual  Não hó nada racional no seu post "|"Mara Gabrilli"|NA|"sim"|"racionalidade"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" furlan do  maragabrilli Otario é quem vota em ladrão e psicopata  Tem tb os que acreditam nessas traíras da Tebet e essa outra "|"Mara Gabrilli"|NA|"sim"|"outra/traidora"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Você é uma vergonha tanto a memória do seu pai  como para nós que elegemos você no passado  mas esse erro seró corrigido em 2026   "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" JornalOGlobo    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão  https   t co VcOtppbyXd"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" FlviaLeo16  maragabrilli A inveja é uma merda   "|"Mara Gabrilli"|NA|"não dá pra saber"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Deveria ser vc uma melhor senadora  porque vc ser cadeirante  não a impede de ser uma péssima senadora     Então não é a deficiência  é o caróter de ser uma parlamentar exemplar  e pensar no povo em suas pautas e não em partido "|"Mara Gabrilli"|NA|"sim"|"capacitismo"
